Z Q M X A Y B DT DK COL
86 84 223.00000 0.77915294E-04 0.21589992E-01 -.59934204E-03 -.21255560E-02 0.32710563E-01 -.21487414E-03 01
86 84 223.00000 0.22273816E-02 -.18829063E-02 0.69324079E-04 0.46333190E-02 -.19308809E-02 0.46190667E-03 01
86 84 223.00000 0.13492658E-01 0.30540525E-01 -.35709989E-02 -.57781984E-02 0.73409244E-01 0.98474430E-03 01
86 84 223.00000 0.23178078E-01 0.26120981E-01 -.43144099E-02 -.68827187E-02 0.69774500E-01 0.22367423E-02 01
86 84 223.00000 -.48765962E-04 -.80243393E-02 0.64816937E-04 -.39308059E-02 -.27333783E-01 0.72790235E-04 01
86 84 223.00000 0.16023720E-02 -.90574754E-02 0.16792408E-03 -.35985538E-02 0.15841258E-01 0.39103079E-03 01
86 84 223.00000 0.41428173E-03 -.33298635E-02 0.51720166E-03 0.12986822E-01 -.20172557E-02 0.18906060E-03 01
86 84 223.00000 0.30062679E-02 0.15289910E-01 -.54598219E-03 0.10090561E-01 0.38889594E-01 0.58097582E-03 01
86 84 223.00000 -.11092834E-02 0.44326705E-02 -.93534918E-03 -.12927395E-01 0.33818516E-02 -.15766973E-03 01
86 84 223.00000 0.71125797E-03 -.39797696E-02 -.33158267E-01 -.15470545E-01 -.18510662E-01 0.92472743E-03 01
86 84 223.00000 0.46979258E-02 0.33395103E-01 0.95326543E-03 0.12774858E-02 0.69767936E-01 -.38565696E-03 01
86 84 223.00000 0.36818683E-01 -.34437713E-01 -.37384628E-01 -.24170270E-01 0.51153445E-02 0.10468363E-01 01
86 84 223.00000 0.20769247E-02 0.58734864E-02 -.90932455E-03 -.12498055E-01 -.77477847E-02 0.52425370E-03 01
86 84 223.00000 -.73648519E-03 -.54492120E-02 0.26073000E-03 0.84549977E-02 -.18628723E-01 -.91940836E-04 01
86 84 223.00000 0.22573372E-02 0.18380563E-01 0.57261233E-03 0.88543882E-02 0.40610035E-01 0.29345662E-03 01
86 84 223.00000 -.20938803E-02 0.12262198E-02 0.29888086E-03 0.66718756E-02 0.17348663E-01 -.43265233E-03 01
86 84 223.00000 -.11853170E-02 0.12982097E-01 -.21841895E-03 -.46236189E-02 0.20767277E-01 -.27060267E-03 01
86 84 223.00000 0.19229744E-02 -.98312095E-02 0.46433526E-03 -.52644786E-02 -.47842919E-01 0.46948679E-03 01
86 84 223.00000 0.86457169E-02 0.32848022E-01 -.23641648E-02 -.21562396E-02 0.63740745E-01 0.36044578E-03 01
86 84 223.00000 0.20311346E-02 0.16018727E-01 0.76793212E-03 0.90764145E-02 0.80899924E-01 0.32433599E-03 01
86 84 223.00000 -.56437747E-03 -.16385784E-02 -.27584530E-03 0.37714551E-02 -.22506896E-01 -.10961878E-03 01
86 84 223.00000 0.62614945E-03 -.52492630E-02 -.25854135E-01 -.14906872E-01 0.11992976E-01 0.10551324E-02 01
86 84 223.00000 -.20098064E-02 -.14971040E-02 0.15161369E-01 0.14833071E-01 -.18105416E-01 0.17162019E-03 01
86 84 223.00000 0.24991774E-02 0.11775032E-01 -.31892350E-03 -.10933873E-01 0.46284263E-01 0.52547496E-03 01
86 84 223.00000 0.26213658E-02 0.25414260E-01 0.66553667E-03 0.47440230E-02 0.28017412E-01 0.49145888E-04 01
86 84 223.00000 0.17702155E-01 0.47454671E-02 -.14597249E-01 -.15679862E-01 0.38132311E-01 0.24146575E-02 01
86 84 223.00000 0.80989524E-03 -.31367731E-02 0.49488803E-03 -.98881304E-02 -.20813758E-01 0.20123877E-03 01
86 84 223.00000 0.24740901E-02 0.19748624E-01 -.15747411E-02 -.62181553E-02 0.74159170E-01 0.31065169E-03 01
86 84 223.00000 0.68414828E-03 -.55756302E-03 -.19368012E-02 -.12500266E-01 0.18264449E-01 0.23729695E-03 01
86 84 223.00000 0.79765676E-03 -.23170623E-02 -.10347803E-02 -.11679644E-01 -.26204730E-01 0.22897259E-03 01
86 84 223.00000 -.28977175E-02 -.13043541E-01 0.27328039E-03 0.10919428E-02 -.21995174E-01 -.14974890E-03 01
86 84 223.00000 0.46166730E-02 0.23543054E-01 0.13015177E-02 0.61244870E-02 0.80777767E-01 0.52861619E-03 01
86 84 223.00000 0.88347636E-03 -.79739985E-02 -.69580174E-03 -.12515268E-01 -.28540227E-01 0.31876523E-03 01
86 84 223.00000 0.61982566E-03 0.83908411E-02 -.34309523E-03 -.49560259E-02 0.53011329E-03 0.15362022E-03 01
86 84 223.00000 0.44268782E-03 -.29839087E-02 -.53994698E-04 0.38115931E-02 -.23460110E-02 0.97933129E-04 01
86 84 223.00000 -.64313192E-03 0.65529006E-03 0.24190705E-03 0.68036585E-02 0.57177977E-02 -.12959615E-03 01
86 84 223.00000 0.10228566E-02 0.12618348E-01 -.22820525E-03 -.53630930E-02 0.47644655E-01 0.22521114E-03 01
86 84 223.00000 -.22510919E-02 -.86244706E-02 0.10778118E-03 0.53623069E-02 -.17905178E-01 -.28584191E-03 01
86 84 223.00000 0.66455414E-02 -.16228035E-01 -.42106089E-01 -.16338456E-01 -.50954900E-02 0.32385303E-02 01
86 84 223.00000 -.10255905E-02 -.32669197E-02 -.27398732E-02 -.13488213E-01 -.64809129E-03 -.56619010E-04 01
86 84 223.00000 -.17403233E-02 -.20864506E-02 0.23792337E-02 0.13033152E-01 -.15777455E-01 -.24197687E-03 01
86 84 223.00000 -.12726744E-02 0.35133208E-02 0.11607700E-01 0.15123504E-01 0.15443850E-01 0.13284172E-03 01
86 84 223.00000 0.21817635E-01 0.30165688E-01 0.66594637E-02 0.44578918E-02 0.12511623E+00 0.17260854E-02 01
86 84 223.00000 0.20055979E-02 0.29893295E-02 0.54791241E-03 -.82304972E-02 0.48477406E-02 0.45431254E-03 01
86 84 223.00000 0.36166449E-03 0.17704930E-02 -.45528363E-03 -.50008860E-02 0.14752957E-01 0.78733648E-04 01
86 84 223.00000 -.32241248E-02 -.11423606E-01 -.83070906E-04 -.19877845E-02 -.34269433E-01 -.30325949E-03 01
86 84 223.00000 0.38589980E-03 -.19939626E-02 -.10731546E-02 -.13750150E-01 0.21266199E-02 0.22148213E-03 01
86 84 223.00000 0.51530516E-03 0.46747555E-02 -.56627657E-02 -.13834381E-01 0.17536447E-01 0.29277190E-03 01
86 84 223.00000 -.20146175E-01 -.95661151E-02 -.29250039E-02 -.18872035E-01 -.10451891E+00 -.12186100E-02 01
86 84 223.00000 0.18311694E-01 0.35871131E-01 0.71250581E-02 0.26111564E-02 0.78039812E-01 0.65911441E-03 01
86 84 223.00000 0.11157671E-03 0.12147402E-01 0.18615620E-02 0.11986920E-01 0.33609942E-01 -.17594523E-04 01
86 84 223.00000 0.25450586E-02 0.12703845E-01 0.29371263E-02 0.13621640E-01 0.41181912E-01 0.45705510E-03 01
86 84 223.00000 0.47308493E-02 0.31384928E-01 -.16186537E-02 -.33349841E-02 0.79665826E-01 -.16316088E-03 01
86 84 223.00000 0.20560938E-02 -.10516238E-01 -.15980846E-03 -.94353372E-02 -.81119741E-02 0.53591600E-03 01
86 84 223.00000 -.78556132E-03 -.11486888E-01 -.82216751E-04 -.13791500E-01 -.39125807E-01 0.17549363E-03 01
86 84 223.00000 0.86789434E-01 0.15947579E-01 -.30259972E-01 0.71145213E-02 0.16309716E+00 0.52608199E-02 01
86 84 223.00000 0.10968133E-02 -.67252492E-02 0.44578230E-03 0.12590898E-01 -.19401435E-01 0.34025138E-03 01
86 84 223.00000 0.99876303E-03 -.35098112E-02 0.61944794E-03 0.69835098E-02 -.11816230E-01 0.21760248E-03 01
86 84 223.00000 -.60244998E-03 -.89689483E-02 -.20021937E-03 -.57344605E-03 0.44906718E-02 -.36937787E-06 01
86 84 223.00000 0.30557743E-01 0.44152106E-01 0.89406216E-02 -.83875097E-03 0.11102024E+00 -.51884763E-04 01
86 84 223.00000 -.65894543E-03 0.71589150E-02 0.12914793E-03 -.92595371E-02 0.35885074E-01 -.12277278E-03 01
86 84 223.00000 -.22503664E-02 -.45180856E-02 0.22517415E-03 0.47349015E-02 0.55803165E-02 -.40311802E-03 01
86 84 223.00000 0.15973706E-01 -.22214182E-01 0.69787316E-02 0.17527359E-01 -.33920678E-01 0.41255753E-02 01
86 84 223.00000 0.66782945E-02 0.28920426E-01 -.23030457E-02 -.36519970E-02 0.95497280E-01 0.47360508E-03 01
86 84 223.00000 0.27127569E-02 0.35137962E-02 0.25446397E-01 0.18152546E-01 0.12990226E-02 0.66937691E-03 01
86 84 223.00000 -.18577782E-03 0.10981728E-01 0.66251110E-03 0.11283449E-01 0.11018054E-01 -.45158184E-04 01
86 84 223.00000 0.87208398E-02 0.19987698E-01 -.12114068E-02 -.10491159E-01 0.86540862E-01 0.12129496E-02 01
86 84 223.00000 0.56935573E-03 0.10984954E-01 -.33431786E-02 -.13460781E-01 0.41050275E-01 0.12517687E-03 01
86 84 223.00000 -.30346841E-01 -.62657948E-02 -.11617395E-03 0.28432019E-03 -.91273802E-01 -.34101869E-02 01
86 84 223.00000 -.39623010E-03 0.12186558E-01 -.54105297E-04 0.76144058E-02 0.45180011E-01 -.92896148E-04 01
86 84 223.00000 -.17923890E-02 0.16677762E-02 0.80318278E-02 0.14178345E-01 0.15623447E-02 -.86714822E-04 01
86 84 223.00000 -.57806930E-03 -.12357878E-01 -.46544078E-03 -.89423527E-02 -.46902980E-01 0.17525069E-03 01
86 84 223.00000 0.89560889E-03 -.10243465E-02 -.25442802E-03 -.54789181E-02 -.20019105E-01 0.18792526E-03 01
86 84 223.00000 0.71777588E-02 -.74367095E-02 0.48012281E-01 0.21261617E-01 0.20919707E-01 0.13367042E-02 01
86 84 223.00000 0.91450123E-03 0.66435217E-02 0.16022073E-03 -.31968931E-02 -.20832245E-02 0.22123067E-03 01
86 84 223.00000 0.19901563E-02 -.18554515E-01 0.22004033E-03 -.17631957E-01 -.59545507E-01 0.15024186E-02 01
86 84 223.00000 0.17579627E-02 -.10789775E-01 0.39080616E-03 -.42162283E-02 -.31923410E-01 0.46288951E-03 01
86 84 223.00000 0.40734986E-02 0.17610986E-01 -.92628629E-03 -.95921058E-02 0.53649725E-01 0.65178845E-03 01
86 84 223.00000 0.16784611E-02 0.10214179E-02 0.55473226E-03 -.81537849E-02 -.97633457E-02 0.37299287E-03 01
86 84 223.00000 -.17865738E-03 0.99488887E-02 -.87551595E-03 -.99803045E-02 -.35173666E-02 -.42502194E-04 01
86 84 223.00000 0.15747848E+00 0.26890255E-02 -.57294343E-01 0.19923686E-01 0.21031455E+00 0.64310661E-02 01
86 84 223.00000 0.25344483E-02 0.10456770E-01 -.17438013E-03 0.89351969E-02 0.17173052E-01 0.57162952E-03 01
